Strain.ID	""Taxonomic"" classification*	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession	mlsa_node_id	beast_node_id
U167/95	rhizogenes	BV2	NA	Grape	Grape (Woody)	NA	NA	1995	NA	None	SAMN14165443	U167_95__BV2	U167_95
13-2099-1-2	tumefaciens	BV1	G1	Aspen	Woody	S3_N12	Nopaline	2013	Ti	Type Ib	SAMN04901292	13-2099-1-2__BV1	13-2099-1-2
L29/94	rhizogenes	BV2	NA	Blueberry	Woody	S6_N20	Nopaline	1994	Ti	Type Ia	SAMN14165444	L29_94__BV2	L29_94
AF82/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165445	AF82_95__BV1	AF82_95
RO 10.5	rhizogenes	BV2	NA	Rose	Woody	C8_N43	Nopaline	2009	Ti	Type Ia	SAMN14165446	RO_10.5__BV2	RO_10.5
D2/76	rhizogenes	BV2	NA	Rose	Woody	S6	Nopaline	1976	Ti	Type Ia	SAMN14165447	D2_76__BV2	D2_76
AL. 21.2	rhizogenes	BV2	NA	Plum	Woody	C8_N40	Nopaline	2009	Ti	Type Ia	SAMN14165448	AL._21.2__BV2	AL._21.2
R 1.1	rhizogenes	BV2	NA	Peach	Woody	C8_N41	Nopaline	2008	Ti	Type Ia	SAMN14165449	R_1.1__BV2	R_1.1
D1/94	rhizogenes	BV2	NA	Grape	Grape (Woody)	S6_N26	Nopaline	1994	Ti	Type Ia	SAMN14165450	D1_94__BV2	D1_94
15-1187-1-2a	tumefaciens	BV1	G1	Yarrow	Herbaceous	C4_N13	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901301	15-1187-1-2a__BV1	15-1187-1-2a
B133/95	rhizogenes	BV2	NA	Peach/Almond Rootstock	Woody	S2_N5	Nopaline	1995	Ti	Type Ia	SAMN04901297	B133_95__BV2	B133_95
D100/85	rhizogenes	BV2	NA	Blueberry	Woody	NA	NA	1985	NA	None	SAMN14165451	D100_85__BV2	D100_85
AF52/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165452	AF52_95__BV1	AF52_95
W 1.1	rhizogenes	BV2	NA	Plum	Woody	C8_N35	Nopaline	2008	Ti	Type Ia	SAMN14165453	W_1.1__BV2	W_1.1
G 8.3	tumefaciens	BV1	G1	Cherry	Woody	C8_N34	Nopaline	2008	Ti	Type Ia	SAMN14165454	G_8.3__BV1	G_8.3
T267/94	vitis	BV3	NA	Grape	Grape (Woody)	NA	Nopaline	1994	Ti	Type IVa	SAMN14165455	T267_94__BV3	T267_94
15-1187-1-2b	tumefaciens	BV1	G1	Yarrow	Herbaceous	C4_N13	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901302	15-1187-1-2b__BV1	15-1187-1-2b
N2/73	tumefaciens	BV1	G1	Raspberry	Woody	S6	Nopaline	1973	Ti	Type Ia	SAMN04901299	N2_73__BV1	N2_73
L20/94	rhizogenes	BV2	NA	Blueberry	Woody	S6_N20	NA	1994	NA	None	SAMN14165456	L20_94__BV2	L20_94
AF1/95	tumefaciens	BV1	G1	Lilac	Woody	S2_N7	Octopine/Agropine	1995	Ti	Type II	SAMN14165457	AF1_95__BV1	AF1_95
W 1.4	rhizogenes	BV2	NA	Plum	Woody	C8_N35	Nopaline	2008	Ti	Type Ia	SAMN14165458	W_1.4__BV2	W_1.4
LMG 215	tumefaciens	BV1	G4	Hop	Herbaceous	NA	NA	1928	NA	None	SAMN06693640	LMG_215__BV1	LMG_215
T393/94	vitis	BV3	NA	Grape	Grape (Woody)	NA	Nopaline	1994	Ti	Type IVa	SAMN14165459	T393_94__BV3	T393_94
B140/95	tumefaciens	BV1	G4	Peach/Almond Rootstock	Woody	S2_N5	Octopine/Agropine	1995	Ti	Type II	SAMN04901298	B140_95__BV1	B140_95
IL30	tumefaciens		G1	Rose	Woody	C5	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165460	IL30__	IL30
G 10.5	rhizogenes	BV2	NA	Cherry	Woody	C8_N36	Nopaline	2009	Ti	Type Ia	SAMN14165461	G_10.5__BV2	G_10.5
LMG 232	tumefaciens	BV1	G1	Beet	Herbaceous	NA	NA	1963	NA	None	SAMN14165462	LMG_232__BV1	LMG_232
V80/94	vitis	BV3	NA	Grape	Grape (Woody)	NA	Vitopine/Nopaline	1994	Ti	Type V	SAMN14165463	V80_94__BV3	V80_94
15-172	tumefaciens	BV1	G7_a	Shasta Daisy	Herbaceous	S9_N46	Nopaline/Chrysopine	NA	Ti	Type III	SAMN04901304	15-172__BV1	15-172
AC44/96	BV2-like	BV2-like	NA	Japanese pieris	Woody	NA	NA	1996	NA	None	SAMN04901295	AC44_96__BV2-like	AC44_96
FPH-AT4	tumefaciens	BV1	G1	Blanket flower (Gaillardia)	Herbaceous	S7_N19	Nopaline/Mannopine	2014	Ti	Type III	SAMN14165464	FPH-AT4__BV1	FPH-AT4
W9/94	tumefaciens	BV1	G1	Walnut	Woody	S2_N1	Nopaline	1994	Ti	Type Ia	SAMN14165465	W9_94__BV1	W9_94
RO 2.2	rhizogenes	BV2	NA	Rose	Woody	C8_N33	Nopaline	2009	Ti	Type Ia	SAMN14165466	RO_2.2__BV2	RO_2.2
LMG 267	tumefaciens	BV1	G4	Tomato	Herbaceous	NA	Octopine/Agropine	1935	Ti	Type II	SAMN14165467	LMG_267__BV1	LMG_267
AV25/95	vitis	BV3	NA	Grape	Grape (Woody)	NA	Vitopine/Nopaline	1995	Ti	Type V	SAMN14165468	AV25_95__BV3	AV25_95
15-174	tumefaciens	BV1	G1	Shasta Daisy	Herbaceous	S9_N46	Nopaline/Chrysopine	2015	Ti	Type III	SAMN04901305	15-174__BV1	15-174
AC27/96	BV2-like	BV2-like	NA	Japanese pieris	Woody	NA	NA	NA	NA	None	SAMN04901294	AC27_96__BV2-like	AC27_96
FPH-AR2	larrymoorei	Ala	NA	Blanket flower (Gaillardia)	Herbaceous	S7_N19	Nopaline/Chrysopine	2014	Ti	Type III	SAMN14165469	FPH-AR2__Ala	FPH-AR2
CM65/95	rhizogenes	BV2	NA	Grape	Grape (Woody)	S6_N22	Agrocinopine/Other	1995	Ti	Type Ib	SAMN14165470	CM65_95__BV2	CM65_95
RO 11.4	rhizogenes	BV2	NA	Rose	Woody	C8_N43	Nopaline	2010	Ti	Type Ia	SAMN14165471	RO_11.4__BV2	RO_11.4
LMG 292	tumefaciens	BV1	G8_c	Lettuce	Herbaceous	NA	NA	1974	NA	None	SAMN14165472	LMG_292__BV1	LMG_292
CG53/95	tumefaciens	BV1	G1	Grape	Grape (Woody)	S6_N22	NA	1995	NA	None	SAMN14165473	CG53_95__BV1	CG53_95
13-626	rhizogenes	BV2	NA	Pear	Woody	NA	NA	2013	NA	None	SAMN04901293	13-626__BV2	13-626
Di1411	rhizogenes	BV2	NA	Rose	Woody	S7_N44	Nopaline (Ti), Succinamopine (Ri)	NA	Ti, Ri	Type Ia, (Ri) Type II	SAMN14165474	Di1411__BV2	Di1411
IL15	tumefaciens	BV1	G4	Rose	Woody	C5	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165475	IL15__BV1	IL15
J3/75	tumefaciens	BV1	G1	Apple	Woody	Unknown	Nopaline	1975	Ti	Type Ia	SAMN14165476	J3_75__BV1	J3_75
Di1519	tumefaciens	BV1	G4	Soil	NA	S5	Octopine/Agropine	NA	Ti	Type II	SAMN14165477	Di1519__BV1	Di1519
AS2A7	rubi	Aru	NA	NA	NA	NA	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165478	AS2A7__Aru	AS2A7
CP182/95	rhizogenes	BV2	NA	Wild Grape	Grape (Woody)	S6_N30	Nopaline	1995	Ti	Type Ia	SAMN14165479	CP182_95__BV2	CP182_95
2788	tumefaciens	BV1	G8_a	NA	NA	Unknown	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165480	2788__BV1	2788
AF27/95	rhizogenes	BV2	NA	Lilac	Woody	S2_N7	Octopine/Agropine	NA	Ti	Type II	SAMN14165481	AF27_95__BV2	AF27_95
K224	tumefaciens	BV1	G1	Chrysanthemum	Herbaceous	C4	Succinamopine/Chrysopine	NA	Ti	Type III	SAMN14165482	K224__BV1	K224
N40/94	tumefaciens	BV1	G8_a	Raspberry	Woody	S6_N25	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165483	N40_94__BV1	N40_94
